,mae_ci,mae_ci,mae_ci,mae_ci,mae_ci,mae_ci,mae_mean,mae_mean,mae_mean,mae_mean,mae_mean,mae_mean,tau_ci,tau_ci,tau_ci,tau_ci,tau_ci,tau_ci,tau_mean,tau_mean,tau_mean,tau_mean,tau_mean,tau_mean
Algorithm,DEBM,DEBM GMM,SA-EBM,TEMPO,UCL GMM,UCL KDE,DEBM,DEBM GMM,SA-EBM,TEMPO,UCL GMM,UCL KDE,DEBM,DEBM GMM,SA-EBM,TEMPO,UCL GMM,UCL KDE,DEBM,DEBM GMM,SA-EBM,TEMPO,UCL GMM,UCL KDE
Experiment,,,,,,,,,,,,,,,,,,,,,,,,
Exp 1: Ordinal kj (DM) + EBM + X (Normal),0.5540159390553916,1.2575834789387168,1.7609825898369804,0.07269708776734213,2.51071812335837,0.3663820212330844,8.634380165289256,13.582011019283746,11.957382920110192,2.608374662399292,16.87534435261708,39.93289256198347,0.009630537835118769,0.012371290978094704,0.024018603023615036,0.0022961640955586234,0.022139897070707862,0.014605267483647598,0.22934545454545446,0.24733737373737366,0.22743030303030295,0.06011313131313121,0.20685656565656557,0.5136242424242424
Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),0.6437638324136782,0.6841088756169545,1.72784433451465,0.11694845884058998,1.7890607901103535,0.31092948273196697,11.574600550964186,13.220495867768596,12.992837465564737,4.030165314674377,38.44231404958678,39.96440771349862,0.008684126356724917,0.010440517143422917,0.024495431612909496,0.002695286549762119,0.026801982583290414,0.01214449746575522,0.28971313131313126,0.27860202020202013,0.2465333333333333,0.0856121212121211,0.49467070707070704,0.4987434343434343
Exp 3: Ordinal kj (Uniform) + EBM + X (Normal),0.49119009498527283,1.2506600865154631,0.9320166060343971,0.05940064147873256,2.1721089729976453,0.45508615493468213,6.788457300275483,10.136473829201101,6.909449035812672,2.6488154220581053,15.419311294765839,39.790633608815426,0.009327658887986185,0.013027753512627147,0.01964282696561386,0.0012443708291004242,0.021171589356230383,0.014251582344547245,0.21812929292929287,0.2006666666666666,0.17169292929292923,0.04165656565656553,0.17098181818181807,0.5210828282828283
Exp 4: Ordinal kj (Uniform) + EBM + X (Non-Normal),0.5791865768714264,1.7883037387503564,0.8228436016293148,0.1484212822161154,2.10469499659392,0.2672319965696005,9.487052341597796,13.26107438016529,6.695647382920111,4.27,34.72548209366391,39.90608815426997,0.010994918153351336,0.014079756548830926,0.01710540136702715,0.002155441152761314,0.02845641480132762,0.009966389607297661,0.2985454545454545,0.2504686868686868,0.17511515151515145,0.07143030303030293,0.46777373737373734,0.5005737373737373
Exp 5: Continuous kj (Beta) + Sigmoid,0.29360597231669905,0.7927131405898437,1.1119566215953398,0.1305204871164582,1.8057734310387246,1.8846230288748087,6.339559228650138,7.672121212121213,9.631432506887053,2.7411019515991213,11.460881542699724,44.520881542699726,0.007445369475181881,0.011701727025162664,0.019967964327671835,0.002890746498313815,0.02345722637067067,0.014389497783021302,0.2236848484848484,0.2143555555555555,0.23321616161616154,0.09475151515151506,0.25909494949494943,0.47814545454545454
Exp 6: Continuous kj (Beta) + EBM + X (Normal),0.22075708206772204,1.9837686206501672,0.9450714929344334,0.06824455008831393,2.746085874992019,2.0962406544939505,5.223471074380166,7.947933884297521,8.293498622589532,2.9423140716552734,13.657906336088153,50.993360881542706,0.008654199611482593,0.010196553771430389,0.017740431118095163,0.002452345631017752,0.013979342216023911,0.017181490749616644,0.22413737373737366,0.16842424242424234,0.1887838383838383,0.09134545454545442,0.1671636363636363,0.5053575757575757
Exp 7: Continuous kj (Beta) + EBM + X (Non-Normal),0.2859569129183577,1.784734000446066,0.8281498012890666,0.11656250340056655,3.9029890949707564,0.23132856354479872,6.734628099173554,8.48504132231405,8.336225895316804,3.4163360738754274,41.64636363636364,55.87526170798898,0.00926767427504312,0.01122322942331422,0.01420162678178456,0.0036616854217991013,0.029699545430675624,0.008827438805358035,0.2921656565656565,0.2247757575757575,0.19766464646464638,0.11021010101010091,0.4549414141414141,0.49851313131313135
Exp 8: xi (Noise) + Continuous kj (Beta) + Sigmoid,0.22794521035890414,0.4802304323785248,0.5766884834119937,0.10412215416133107,1.133255869045758,2.5099357091662204,5.949641873278236,5.176308539944904,5.360881542699725,3.52198347568512,11.11526170798898,37.634187327823696,0.009274376822922804,0.011606956557660255,0.01683123757939143,0.004139041748680596,0.018935706376987844,0.013861928007038568,0.217090909090909,0.17806464646464637,0.17629090909090903,0.09317171717171707,0.2699555555555555,0.4919232323232323
Exp 9: xi (Noise) + Continuous kj (Beta) + EBM + X (Normal),0.1819139896565664,0.23827786618620195,0.488261199527425,0.05761771518211175,2.434793460853045,2.855389926451076,5.0786225895316806,4.488953168044078,4.788044077134987,2.9586225938796997,13.983939393939394,52.71074380165289,0.008359398760497941,0.007860274993042744,0.011764176046265812,0.00380719747265703,0.020738557295455557,0.01636186028608341,0.20986666666666662,0.14312323232323224,0.15545050505050495,0.08157575757575747,0.18015353535353526,0.5052444444444444
